,Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
0,NVRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NVTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,OAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,OLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,PDCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,PEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,PENN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,PLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,PRAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,QEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,QTWO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,RDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,REXR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,RGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,SAFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,SAGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,SAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,SBRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,SBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,SCCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,SEAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,SKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,SPWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,SUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,SXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TACO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,TECH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,TMHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,TREX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,TXRH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,VAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,VCYT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,WST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,ZTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,GRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,LTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,TRX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,ABBV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,ABC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,ACN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,AIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,ANTM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,BIIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,BKNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,CAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,CMCSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,COF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,COST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,CPRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,CVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,DOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,FMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,FNMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,FOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,GILD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,GM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,GPRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,GS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,HON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,KR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,MCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,MDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,MET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,MOMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,MPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,PSX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,PYPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,QCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,SHAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,TGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,TTM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,TTWO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,UNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,UPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,VIAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,VLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,WBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,WFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,WMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,ABT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,AEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,AES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,AFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,ALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,APA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,ARMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,ARW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,AVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,BAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,BBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,BK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,BMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,CHK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,CMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,CNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,COP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
