,Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
0,TWTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,UBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,URBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,VALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,VOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,VZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,WDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,WIX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,WMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,WU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,XOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,YNDX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,ZYNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,AGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,AKAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,AKRX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ALLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,AMG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,ANSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,AXTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,BB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ACWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,AGG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,AOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,AOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,AOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,BOND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CORN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
