,Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
0,IRM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,KMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,LII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,LPX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,MKTX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,MPW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,MRTX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,MTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,MTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,MTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,NBIX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,NVCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ODFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,OHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,OLLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,PAGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,PEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,PFPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,PKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,PLNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,RETA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,RMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,RNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,SAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,SFIX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,SKT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,SMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,SSNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,STE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,STMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SUZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,TDOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,THO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TREE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,UDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,VNO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,WMGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,WPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,ZM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,AAXN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,ABCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,ACIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,AIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,AMED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,ARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,ATGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,AZPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,AZUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,BCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,BG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,BHVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,BLDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,BLUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,BPMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,BRFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,BRKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,BRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,BXS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,CHRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,CNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,CNX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,CRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,CROX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,CRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,CTLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,CUBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,DECK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,DNKN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,EGHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,EHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,EVBG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,EXEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,FBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,FRPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,FRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,GGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,GKOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,GOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,GOSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,HGV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,HRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,HTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,HTHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,IBKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,IBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,IDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,IIVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,IMMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,INGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,IPHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,ISBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,JACK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,KBH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,LPSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,LSI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,MDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,MRCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,MTDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
