,Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
0,DLTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,DOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,DRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,DVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,EIX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,EMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ETR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,FNF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,FTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,GLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,GME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,GNW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,GPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,GWW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,HDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,HLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,HRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,HSIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,JEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,JWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,KKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,KMX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,MGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,MMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,MOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,MUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,NAV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,NSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,NWSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,OKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,OMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,PFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,PPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,PVH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,PWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,RGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,ROST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,RRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,RSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,SAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,SHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,SPTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,SRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,STLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,STT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,SWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,SYK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,TFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,TRGP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,TXN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,UGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,UHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,UNM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,VC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,VFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,WCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,XEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,YUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,ABG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,ABM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,AEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,ALK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,AMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,APH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,ASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,ATO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,AVY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,AXE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,BAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,BERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,BIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,BTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,BX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,CASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,CCEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,CINF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,CLMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,CLX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,CMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,CRM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,DAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,DDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,DGX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,DISCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,DKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,EME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,EXPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,EXPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,FIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,FISV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,FITB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,HBI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,HII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,HST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
