,Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
86,NVDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,ORCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,OSTK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,PBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,PEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,PINS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,QIWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,RENN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,RL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,RYAAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,SAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,SBUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,SI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,SMG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,SNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,SPOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,STZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,TEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,TEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,TLRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,TRIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,TSLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
