,Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
0,INGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,IPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,IQV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,JBHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,JBLU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,JLL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,KBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,LDOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,LEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,LH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,LHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,LKQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,LYV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,MAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,MHK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,MKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,NAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,NCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,NEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,NLOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,NTAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,NWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,OI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,ORI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,ORLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,OSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,PHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,PKG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,PXD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,RJF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,RLGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,ROK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,SANM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,SCHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,SEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,SJM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,SON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,SPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,SPGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,SPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,TA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,THG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,UNFI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,URI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,WEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,WYND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,WYNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,AJG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,AME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,AMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,ANDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,ARGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,ASNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,ATI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,BLMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,BURL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,CEQP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,CFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,CLLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,CMG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,CNO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,COTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,CTAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,DAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,EDIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,ENR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,FAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,FBHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,FIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,FLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,FWONA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,GEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,GL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,GNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,GPK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,HAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,INTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,JNPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,KEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,KNX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,LEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,LRCX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,MDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,MIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,MKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,MTB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,MTCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,MTW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,MTZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,NTDOY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,NTLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,NTRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,NVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,PDCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
