,Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
0,GRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ISRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ITUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,LAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,LIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,LYB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,MMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,NOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,NVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,OUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,OXY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,PAYX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,PLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,PRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,PSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,RCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,RDS.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,RIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,RMAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,RNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,SBH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,SIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,SIX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,SLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,TEAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,TMUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,VAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,VIAV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,VIPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,VMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,VRSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,VRSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,VRTX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,VSTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,WAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,WBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,WDAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,WELL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,WEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,WLTW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,WUBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,XLNX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,XRAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,YELP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,ZBH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,ZEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,ZTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,BND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,BSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,IWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,IWF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,USMV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,VCSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,VEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,VNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,VOO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,VTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,VTV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,VUG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,VWO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,ABMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,ADM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,ADS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,ALGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,APTV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,ATUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,AWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,BXP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,CDNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,CFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,CGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,CHD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,CMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,CTXS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,CVNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,CXO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,DOCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,DTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,DXC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,DXCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,EDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,ELAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,ETFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,EVRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,EXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,FANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,FFIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,FIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,FRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,FTNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,GPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,GWRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,HBAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,HPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,IAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,IDXX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,IFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,INFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,KEYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,KLAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,KSU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,LULU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
